nohup: ignoring input
Namespace(dataset='busi', dataroot=None, workers=1, batchSize=16, imageSize=64, nc=1, nz=100, ngf=64, ndf=64, niter=10001, lrD=5e-05, lrG=5e-05, beta1=0.5, cuda=True, ngpu=1, netG='', netD='', clamp_lower=-0.01, clamp_upper=0.01, Diters=5, noBN=False, mlp_G=False, mlp_D=False, n_extra_layers=0, experiment='/root/example/airs1/semi/code/pretrain/GAN', adam=True, root='/root/example/airs1', expID=3)
mkdir: cannot create directory ‘/root/example/airs1/semi/code/pretrain/GAN’: File exists
Random Seed:  4014
正在预加载 train-label 数据 (共 288 张)...
✅ 数据已锁入内存！
using cuda ===================================== 
[132/10001] End of Epoch | Avg_Loss_D: -229.5911 | Avg_Loss_G: 115.9320 | Total_Iter: 399
[133/10001] End of Epoch | Avg_Loss_D: -233.3129 | Avg_Loss_G: 117.1314 | Total_Iter: 402
[134/10001] End of Epoch | Avg_Loss_D: -235.3607 | Avg_Loss_G: 118.1398 | Total_Iter: 405
[135/10001] End of Epoch | Avg_Loss_D: -237.9169 | Avg_Loss_G: 119.0906 | Total_Iter: 408
[136/10001] End of Epoch | Avg_Loss_D: -238.6973 | Avg_Loss_G: 120.0033 | Total_Iter: 411
[137/10001] End of Epoch | Avg_Loss_D: -241.6518 | Avg_Loss_G: 121.3006 | Total_Iter: 414
[138/10001] End of Epoch | Avg_Loss_D: -244.2076 | Avg_Loss_G: 122.2769 | Total_Iter: 417
[139/10001] End of Epoch | Avg_Loss_D: -245.6788 | Avg_Loss_G: 123.3517 | Total_Iter: 420
[140/10001] End of Epoch | Avg_Loss_D: -248.3802 | Avg_Loss_G: 124.2954 | Total_Iter: 423
[141/10001] End of Epoch | Avg_Loss_D: -250.3330 | Avg_Loss_G: 125.4649 | Total_Iter: 426
[142/10001] End of Epoch | Avg_Loss_D: -251.7140 | Avg_Loss_G: 126.5081 | Total_Iter: 429
[143/10001] End of Epoch | Avg_Loss_D: -253.0156 | Avg_Loss_G: 127.4934 | Total_Iter: 432
[144/10001] End of Epoch | Avg_Loss_D: -256.3621 | Avg_Loss_G: 128.6153 | Total_Iter: 435
[145/10001] End of Epoch | Avg_Loss_D: -258.2235 | Avg_Loss_G: 129.5262 | Total_Iter: 438
[146/10001] End of Epoch | Avg_Loss_D: -260.3502 | Avg_Loss_G: 130.6389 | Total_Iter: 441
[147/10001] End of Epoch | Avg_Loss_D: -262.4144 | Avg_Loss_G: 131.7853 | Total_Iter: 444
[148/10001] End of Epoch | Avg_Loss_D: -264.0405 | Avg_Loss_G: 132.6995 | Total_Iter: 447
[149/10001] End of Epoch | Avg_Loss_D: -266.9280 | Avg_Loss_G: 133.8242 | Total_Iter: 450
[150/10001] End of Epoch | Avg_Loss_D: -269.0852 | Avg_Loss_G: 134.8794 | Total_Iter: 453
[151/10001] End of Epoch | Avg_Loss_D: -271.1186 | Avg_Loss_G: 135.9211 | Total_Iter: 456
[152/10001] End of Epoch | Avg_Loss_D: -272.5628 | Avg_Loss_G: 136.9913 | Total_Iter: 459
[153/10001] End of Epoch | Avg_Loss_D: -275.1878 | Avg_Loss_G: 138.0921 | Total_Iter: 462
[154/10001] End of Epoch | Avg_Loss_D: -277.4802 | Avg_Loss_G: 139.0204 | Total_Iter: 465
[155/10001] End of Epoch | Avg_Loss_D: -279.4110 | Avg_Loss_G: 140.1644 | Total_Iter: 468
[156/10001] End of Epoch | Avg_Loss_D: -280.6035 | Avg_Loss_G: 141.2005 | Total_Iter: 471
[157/10001] End of Epoch | Avg_Loss_D: -283.7020 | Avg_Loss_G: 142.3455 | Total_Iter: 474
[158/10001] End of Epoch | Avg_Loss_D: -284.7406 | Avg_Loss_G: 143.3640 | Total_Iter: 477
[159/10001] End of Epoch | Avg_Loss_D: -287.8865 | Avg_Loss_G: 144.4728 | Total_Iter: 480
[160/10001] End of Epoch | Avg_Loss_D: -289.4316 | Avg_Loss_G: 145.5645 | Total_Iter: 483
[161/10001] End of Epoch | Avg_Loss_D: -292.0200 | Avg_Loss_G: 146.6377 | Total_Iter: 486
[162/10001] End of Epoch | Avg_Loss_D: -294.4326 | Avg_Loss_G: 147.7455 | Total_Iter: 489
[163/10001] End of Epoch | Avg_Loss_D: -296.3247 | Avg_Loss_G: 148.8013 | Total_Iter: 492
[164/10001] End of Epoch | Avg_Loss_D: -297.8379 | Avg_Loss_G: 149.8333 | Total_Iter: 495
[165/10001] End of Epoch | Avg_Loss_D: -300.6884 | Avg_Loss_G: 150.8754 | Total_Iter: 498
[166/10001] End of Epoch | Avg_Loss_D: -302.6912 | Avg_Loss_G: 152.0234 | Total_Iter: 501
[167/10001] End of Epoch | Avg_Loss_D: -304.9437 | Avg_Loss_G: 153.0485 | Total_Iter: 504
[168/10001] End of Epoch | Avg_Loss_D: -306.8741 | Avg_Loss_G: 154.1771 | Total_Iter: 507
[169/10001] End of Epoch | Avg_Loss_D: -308.7158 | Avg_Loss_G: 155.2451 | Total_Iter: 510
[170/10001] End of Epoch | Avg_Loss_D: -309.1942 | Avg_Loss_G: 156.3712 | Total_Iter: 513
[171/10001] End of Epoch | Avg_Loss_D: -311.7826 | Avg_Loss_G: 157.1991 | Total_Iter: 516
